Mean expected genetic contribution from Charlevoix (%),Location of proband's marriage,Longitude,Latitude,Population size,Subdivision
37.6338329764454,Saint-Thomas-Didyme,-72.6734,48.9049,467,Ashuapmushuan-Mistassini
46.70289855072463,La Doré,-72.6543,48.7097,690,Métabetchouane-Ashuapmushuan
45.875726744186046,Saint-Edmond,-72.5563,48.904,344,Ashuapmushuan-Mistassini
33.891752577319586,Girardville,-72.5467,49.0035,582,Ashuapmushuan-Mistassini
38.05171277997365,Normandin,-72.5432,48.8417,1518,Ashuapmushuan-Mistassini
57.111470860314526,Saint-Félicien,-72.4543,48.6399,2162,Métabetchouane-Ashuapmushuan
34.271564694082244,Albanel,-72.4488,48.8901,997,Ashuapmushuan-Mistassini
43.45735785953177,Saint-Méthode,-72.4157,48.7235,598,Ashuapmushuan-Mistassini
55.21593673965937,Sainte-Hedwidge,-72.3648,48.4788,411,Métabetchouane-Ashuapmushuan
50.806451612903224,Notre-Dame-de-Lorette,-72.356,49.0768,310,Mistassini-Péribonka
47.15980024968789,Saint-Prime,-72.3414,48.5897,801,Ashuapmushuan-Mistassini
64.24059139784947,Saint-Eugène-du-Lac-Saint-Jean,-72.2882,48.9789,465,Mistassini-Péribonka
51.49683897359614,Roberval,-72.2399,48.5167,2689,Métabetchouane-Ashuapmushuan
34.233383685800604,Mashteuiatsh,-72.2378,48.5719,331,Métabetchouane-Ashuapmushuan
38.78176043557169,Dolbeau,-72.2291,48.871,1653,Ashuapmushuan-Mistassini
52.16085926928281,Mistassini,-72.2033,48.8884,1478,Mistassini-Péribonka
47.08658854166667,Saint-Stanislas-du-Lac-Saint-Jean,-72.1774,49.0074,384,Mistassini-Péribonka
62.89008321775312,Lac-Bouchette,-72.1717,48.266,721,Métabetchouane-Ashuapmushuan
64.32291666666666,Saint-François-de-Sales,-72.1352,48.325,528,Métabetchouane-Ashuapmushuan
56.883024251069905,Sainte-Jeanne-d'Arc-du-Lac-Saint-Jean,-72.0849,48.8637,701,Mistassini-Péribonka
59.30037313432835,Chambord,-72.0662,48.4282,670,Métabetchouane-Ashuapmushuan
60.95727848101266,Sainte-Élisabeth-de-Proulx,-72.0606,48.9696,237,Mistassini-Péribonka
63.60358391608392,Péribonka,-72.052,48.768,286,Mistassini-Péribonka
66.59836065573771,Saint-André-du-Lac-Saint-Jean,-71.9886,48.3132,366,La-Belle-Rivière–Métabetchouane
65.96153846153847,Saint-Augustin-du-Lac-Saint-Jean,-71.9589,48.8069,390,Mistassini-Péribonka
64.67059336823735,Desbiens,-71.9466,48.415,573,La-Belle-Rivière–Métabetchouane
71.65717936802974,Métabetchouan,-71.8729,48.4234,1076,La-Belle-Rivière–Métabetchouane
58.93036072144289,Sainte-Monique-de-Honfleur,-71.8576,48.7432,499,East of Lac Saint-Jean
71.03144171779141,Saint-Henri-de-Taillon,-71.8246,48.6604,326,East of Lac Saint-Jean
60.010302197802204,Saint-Ludger-de-Milot,-71.8192,48.8962,364,Mistassini-Péribonka
74.51271186440678,Lac-à-la-Croix,-71.7833,48.4069,590,La-Belle-Rivière–Métabetchouane
76.46325701624815,Saint-Gédéon,-71.774,48.4923,677,East of Lac Saint-Jean
62.99745977984759,Hébertville,-71.6802,48.387,1181,East of Lac Saint-Jean
68.80547337278107,L'Ascension-de-Notre-Seigneur,-71.6725,48.688,676,East of Lac Saint-Jean
69.60702341137124,Hébertville-Station,-71.6656,48.4407,598,East of Lac Saint-Jean
65.55401339210036,Alma,-71.6533,48.5466,5899,East of Lac Saint-Jean
77.24931318681318,Saint-Bruno,-71.6518,48.4685,728,East of Lac Saint-Jean
77.38165680473372,Delisle,-71.62,48.6,845,East of Lac Saint-Jean
76.39802631578947,Saint-Nazaire,-71.5514,48.5881,646,East of Lac Saint-Jean
58.93105849582173,Larouche,-71.5241,48.4443,359,South of Saguenay River
72.47670807453416,Labrecque,-71.5239,48.673,483,East of Lac Saint-Jean
64.56395348837209,Notre-Dame-du-Rosaire,-71.429,48.7897,215,East of Lac Saint-Jean
76.8298969072165,Saint-Charles-de-Bourget,-71.4084,48.4966,485,North of Saguenay River
2.5735294117647056,Mont-Apica,-71.3964,47.9655,34,East of Lac Saint-Jean
70.01997716894978,Bégin,-71.362,48.6725,438,North of Saguenay River
75.03765060240963,Saint-Ambroise,-71.3264,48.5564,996,North of Saguenay River
31.944444444444443,Chute-des-Passes,-71.2573,49.8949,9,Mistassini-Péribonka
52.46825154476218,Jonquière,-71.2562,48.4088,13918,South of Saguenay River
64.75,Shipshaw,-71.2228,48.4718,475,North of Saguenay River
35.61097256857855,Arvida,-71.1796,48.4296,4010,South of Saguenay River
74.47750796178345,Laterrière,-71.1137,48.3064,628,South of Saguenay River
64.92042440318302,Saint-David-de-Falardeau,-71.1126,48.6188,377,North of Saguenay River
70.45571135430917,Saint-Honoré-de-Chicoutimi,-71.0892,48.5316,731,North of Saguenay River
68.25099250110279,Chicoutimi-Nord,-71.0831,48.4426,2267,North of Saguenay River
61.05045180722891,Chicoutimi,-71.0671,48.4227,11786,South of Saguenay River
78.3987915407855,Saint-Fulgence,-70.9059,48.4484,662,North of Saguenay River
59.5155601659751,La Baie,-70.8879,48.3411,6025,South of Saguenay River
72.64908256880734,Ferland-et-Boilleau,-70.8474,48.1811,327,South of Saguenay River
62.81354515050167,Saint-Félix-d'Otis,-70.6306,48.2742,299,East of Ha! Ha!
80.59895833333334,Sainte-Rose-du-Nord,-70.5942,48.3887,168,North of Saguenay River
81.49271844660194,Rivière-Éternité,-70.4192,48.2589,206,East of Ha! Ha!
83.55152027027027,L'Anse-Saint-Jean,-70.2092,48.2355,592,East of Ha! Ha!
80.57980049875312,Petit-Saguenay,-70.0793,48.2171,401,East of Ha! Ha!
